
***begin of header***
date&time [local time];type;PM10 [ug/m3];PM4 [ug/m3];PM2.5 [ug/m3];PM1 [ug/m3];CalPM10;CalPM4;CalPM2.5;CalPM1;T-fact;T-out [°C];T-aerosol[°C];rH [%];status;date&time [UTC];longitude;lattitude;height [m];serial-no;time-resolution;software-version;cell-no;last calibration [local time]
***end of header***

2020-08-17 06:30:00;measure;0,9;0,9;0,9;0,9;1,1;1,2;1,1;1,1;0,8;23,1;31,2;37,5;800,0;2020-08-17 04:29:35;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 06:35:00;measure;1,1;1,1;1,1;1,0;1,1;1,2;1,1;1,1;0,8;23,0;31,2;37,6;800,0;2020-08-17 04:34:36;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 06:40:00;measure;1,0;1,0;1,0;1,0;1,1;1,2;1,1;1,1;0,8;23,0;31,2;37,5;800,0;2020-08-17 04:39:36;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 06:45:00;measure;1,1;1,1;1,1;1,1;1,1;1,2;1,1;1,1;0,8;22,9;31,2;37,5;800,0;2020-08-17 04:44:36;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 06:50:00;measure;0,9;0,9;0,9;0,9;1,1;1,2;1,1;1,1;0,8;23,2;31,2;37,5;800,0;2020-08-17 04:49:36;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 06:55:00;measure;0,7;0,7;0,7;0,7;1,1;1,2;1,1;1,1;0,8;23,2;31,2;37,8;800,0;2020-08-17 04:54:36;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 07:00:00;measure;0,5;0,5;0,5;0,5;1,1;1,2;1,1;1,1;0,8;23,5;31,3;37,6;800,0;2020-08-17 04:59:37;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 07:05:00;measure;0,4;0,4;0,4;0,4;1,1;1,2;1,1;1,1;0,8;23,8;31,3;37,9;800,0;2020-08-17 05:04:37;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 07:10:00;measure;0,8;0,8;0,8;0,8;1,1;1,2;1,1;1,1;0,8;23,4;31,4;37,3;800,0;2020-08-17 05:09:37;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
2020-08-17 07:15:00;measure;0,9;0,9;0,9;0,8;1,1;1,2;1,1;1,1;0,8;23,3;31,5;37,4;800,0;2020-08-17 05:14:37;E10,863656;N48,357423;H500,0;SN17024;300;SW V8-8 (2020-05-06);1;2020-08-11 23:35
